Name,Season,Region,Games,Winrate,KD,GPM,GDM,Killsgame,Deathsgame,Towerskilled,Towerslost,FBrate,FTrate,DRAPG,DRArate,HERPG,HERrate,DRA15,TD15,GD15,NASHPG,NASHrate,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S6,KR,46,0.522,1,1832,63,11.2,11.1,6.6,5.8,56.5,56.5,2.35,55.8,0.91,57.5,0.89,0.2,528,0.74,53.2,31.2,1888,3.4,0.66,1.69
CJ Entus,S6,KR,46,0.413,0.85,1707,-118,9.8,11.5,5.8,7.5,41.3,43.5,1.89,37.8,0.72,50.4,0.3,-0.2,-900,0.72,43.4,29.9,1821,3.7,0.69,1.66
Jin Air Green Wings,S6,KR,42,0.548,1.19,1756,0,10.1,8.5,6.5,6.5,52.4,52.4,2.5,53,0.64,53.3,0.57,0,285,0.76,49.2,30.7,1777,3.8,0.82,1.79
Kongdoo Monster,S6,KR,43,0.186,0.58,1645,-250,7.6,13.2,4.1,8.3,44.2,44.2,2.05,44.7,0.56,36.3,0.56,-0.1,-747,0.35,26.4,29.7,1738,3.5,0.7,1.51
KT Rolster,S6,KR,43,0.674,1.21,1818,78,12.9,10.6,6.9,5.3,51.2,51.2,2.4,56.5,1.07,59.5,0.47,0,-2,0.58,49,30.6,1970,3.8,0.79,1.85
Longzhu Gaming,S6,KR,43,0.488,1.02,1798,35,9.9,9.7,6.9,6.1,58.1,48.8,2.14,49.3,0.79,57.2,0.4,0.2,412,0.72,54.5,31.1,1875,3.9,0.82,1.68
ROX Tigers,S6,KR,41,0.829,1.74,1957,311,15.2,8.7,8.8,3.5,78,58.5,1.8,54.6,0.78,59.8,0.51,0.4,1241,0.85,81.4,30.8,2079,3.5,0.65,1.46
Samsung Galaxy,S6,KR,44,0.5,0.95,1784,-1,9.1,9.6,6.1,6.2,36.4,43.2,1.91,46.5,0.59,39,0.48,0,-123,0.59,54.2,32,1840,4,0.8,1.79
SBENU Sonicboom,S6,KR,41,0.22,0.56,1641,-243,7,12.6,4.1,8.2,39,36.6,1.93,44.2,0.68,40.7,0.51,-0.5,-1038,0.49,34.6,30.1,1649,3.9,0.85,1.75
SK Telecom T1,S6,KR,41,0.634,1.33,1867,138,11.9,9,7.5,5.5,43.9,65.9,2.2,58.6,0.63,46.2,0.73,0,283,0.63,60.2,32.1,2024,3.8,0.64,1.76
Afreeca Freecs,S6,KR,43,0.465,0.93,1761,-30,10.9,11.7,6.2,6.8,48.8,41.9,1.53,37.9,0.37,66.7,0.37,-0.1,-185,0.7,45.5,30.1,1979,3.4,0.75,1.34
CJ Entus,S6,KR,44,0.273,0.75,1700,-158,9,12,5,8.1,40.9,54.5,1.8,44.6,0.09,15.4,0.57,-0.2,-713,0.77,37.2,29.7,1791,3.4,0.74,1.37
ESC Ever,S6,KR,45,0.356,0.78,1706,-121,8.6,11.1,5,7.2,53.3,66.7,1.71,43.8,0.13,24,0.56,-0.1,-194,0.58,37.5,30.4,1742,3.5,0.8,1.48
Jin Air Green Wings,S6,KR,45,0.422,0.9,1706,-101,9.2,10.3,5.9,7.3,44.4,57.8,2,44.5,0.24,45.8,0.56,0,-177,0.78,41.9,30.1,1855,3.6,0.92,1.59
KT Rolster,S6,KR,44,0.659,1.43,1828,120,13.8,9.7,7.4,5.3,72.7,50,2.34,57.3,0.5,71,0.61,0.2,641,0.86,59.1,30.4,2068,3.5,0.86,1.54
