teamid,win,csPerMin,goldPerMin,xpPerMin,csDiffPerMin,xpDiffperMin,,
100,0,4.92,254.28,367.8,-0.04,9.08,,
100,0,4.56,284.14,325.12,-0.04,-46.44,,
100,1,4.22,295.12,341.44,-0.34,-20.04,,
100,0,5.18,305.48,354.34,0.54,-41.62,,
100,0,4.42,289.12,358.5,-0.16,9.06,,
100,1,4.88,278.12,372.72,0.1,15.36,,
100,0,4.52,278.8,346.34,-0.12,-30.78,,
100,1,5.04,299.9,378.64,0.48,28.6,,
100,0,4.12,244.3,333.9,-0.84,-58.32,,
100,1,4.38,310.92,386.92,-0.08,35.74,,
100,1,4.86,316.34,384.46,0.72,9.12,,
100,1,4.88,286.32,387.4,0.12,14.66,,
100,1,3.64,264.48,305.58,0.26,4.3,,
100,0,3.82,244.18,307.78,-0.32,-28.52,,
100,1,4.76,269.38,359.1,0,-26.6,,
100,0,5.36,296.22,378.56,0.82,24.04,,
100,0,5.02,310.16,377.22,0.54,16.28,,
100,1,4.76,260.38,364.56,-0.58,-1.3,,
100,0,5.14,283.5,388.42,-0.08,29.64,,
100,0,4.86,286.64,344.14,0.5,-33.66,,
100,1,4.56,279.5,373.2,-0.32,8.14,,
100,0,3.5,280.84,285.8,-1.1,-66.92,,
100,1,4.2,291.3,324.12,-0.34,-31.86,,
100,1,4.26,302.8,337.92,-0.66,-11.44,,
100,1,4.86,381.06,412,0.74,77.86,,
100,1,4.38,320.18,348.3,0.06,28.58,,
100,1,4.74,304.04,385.5,0.3,36.6,,
100,1,4.48,331.68,386.28,0.36,77,,
100,0,4.78,283.54,358.68,0.14,3.78,,
100,0,4.54,290.62,358.46,0.6,-33.84,,
100,1,4.54,315.06,386.42,-0.58,-54.16,,
100,1,5.06,267.22,355.2,-0.14,-9.36,,
100,0,4.7,274.52,373.8,0,0,,
100,1,4.8,340.2,362.2,0.48,62.22,,
100,1,4.72,300.44,349.86,0.38,38.76,,
100,0,4.32,282.76,345.76,0.44,7.48,,
100,1,4.78,313.86,372.36,0.32,-8.3,,
100,1,5.02,259,350.72,0.22,-39.8,,
100,1,4.6,361.64,367.56,0.66,32.26,,
100,1,4.76,313.54,379.1,0.36,12.64,,
100,0,4.02,244.72,325.66,-0.8,-63.94,,
100,0,4.82,320.4,377.08,-0.16,25.74,,
100,0,4.82,301.68,352.42,0.08,-6.42,,
100,0,4.58,225.98,322.76,0.14,-28.48,,
100,1,4.28,286.18,383.74,0.16,43.14,,
100,1,5.02,308.12,381.9,-0.1,2.4,,
100,1,4.28,354.78,366.8,0,0,,
100,1,4.62,338.54,390.68,-0.1,37.64,,
100,1,4.58,281.44,353.76,-0.06,-17.86,,
100,0,4.36,277.08,364.4,-0.18,18.08,,
100,0,4.4,298.86,363.18,-0.16,24.04,,
100,0,4.04,237.92,290.36,-0.44,-78.14,,
