blueteamwin,bluecreepsPerMin,bluegoldPerMinDeltas,bluexpPerMin,bluecsDiffPerMin,bluexpDiffPerMin,redteamwin,redcreepsPerMin,redgoldPerMin,redxpPerMin,redcsDiffPerMin,redxpDiffPerMin
0.00,8.60,303.50,312.10,0.00,0.00,1.00,0.20,266.60,271.70,0.00,-82.30
0.00,7.10,243.60,443.50,-0.20,-36.90,1.00,7.30,335.00,480.40,0.20,36.90
0.00,7.60,286.10,452.20,0.00,0.00,1.00,8.90,289.70,285.10,0.00,0.00
0.00,0.20,287.30,354.00,0.00,82.30,1.00,7.50,248.30,431.00,0.00,0.00
0.00,1.10,150.90,277.20,0.00,0.00,1.00,1.20,156.90,261.00,0.00,0.00
0.00,2.10,203.10,230.70,-1.00,-54.55,1.00,0.30,330.50,341.40,-0.60,37.80
0.00,6.90,319.90,397.90,-0.20,-57.90,1.00,6.70,267.60,462.80,-1.40,27.40
0.00,0.90,314.30,303.60,0.60,-37.80,1.00,1.50,298.40,251.70,1.00,54.55
0.00,4.80,282.20,258.00,-1.00,-54.55,1.00,7.40,429.30,346.10,1.00,54.55
0.00,8.10,301.20,435.40,1.40,-27.40,1.00,7.10,357.70,455.80,0.20,57.90
1.00,5.20,239.70,364.70,-0.34,-20.04,0.00,6.90,380.20,450.10,0.34,20.04
1.00,7.90,350.00,323.70,-0.34,-20.04,0.00,7.10,272.90,366.40,0.34,20.04
1.00,4.40,279.20,330.60,-0.34,-20.04,0.00,1.60,189.30,229.10,0.34,20.04
1.00,2.40,396.40,416.30,-0.34,-20.04,0.00,0.70,406.40,379.90,0.34,20.04
1.00,1.20,210.30,271.90,-0.34,-20.04,0.00,6.50,351.90,381.90,0.34,20.04
0.00,8.60,355.40,462.70,1.40,-50.20,1.00,7.20,271.00,512.90,-1.40,50.20
0.00,1.50,201.90,245.40,0.10,-34.10,1.00,1.10,206.50,276.80,-0.10,34.10
0.00,0.60,401.10,329.10,-0.80,-116.80,1.00,6.30,328.70,418.40,-1.90,-27.10
0.00,7.00,253.60,289.00,0.10,-34.10,1.00,1.40,372.40,445.90,0.80,116.80
0.00,8.20,315.40,445.50,1.90,27.10,1.00,7.20,425.10,325.80,-0.10,34.10
0.00,0.30,352.40,379.90,-0.40,39.30,1.00,7.20,331.50,313.70,0.20,-3.00
0.00,1.30,186.00,245.90,-0.20,3.00,1.00,8.70,335.30,486.60,0.00,0.00
0.00,4.30,191.70,287.50,0.00,0.00,1.00,1.40,193.70,252.70,0.20,-3.00
0.00,6.90,368.20,326.50,-0.20,3.00,1.00,0.70,355.80,340.60,0.40,-39.30
0.00,9.30,347.30,552.70,0.00,0.00,1.00,8.40,425.10,485.30,0.00,0.00
1.00,1.40,173.00,259.00,0.10,15.36,0.00,7.80,342.00,449.90,-0.10,-15.36
1.00,5.90,283.50,389.60,0.10,15.36,0.00,7.10,243.40,309.00,-0.10,-15.36
1.00,0.80,306.40,358.20,0.10,15.36,0.00,1.40,156.40,190.10,-0.10,-15.36
1.00,7.70,279.80,459.20,0.10,15.36,0.00,7.20,266.00,426.00,-0.10,-15.36
