kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
22,34,40,8,4,0,0,100
19,34,23,4,3,1,0,100
24,17,33,8,4,3,1,100
16,29,38,9,6,2,0,100
11,28,11,6,4,2,0,100
14,7,15,10,5,0,1,100
12,18,17,9,6,3,0,100
22,7,27,11,6,2,1,100
1,19,1,5,5,2,0,100
47,27,90,7,9,1,1,100
30,22,30,7,4,1,1,100
25,15,39,7,6,2,1,100
36,20,52,5,6,0,1,100
18,35,23,6,2,1,0,100
21,21,32,3,2,0,1,100
22,30,28,13,7,2,0,100
19,28,30,5,5,1,0,100
31,12,64,10,5,3,1,100
10,17,10,8,7,2,0,100
11,29,16,7,5,2,0,100
29,15,58,7,5,1,1,100
16,24,26,0,1,0,0,100
30,19,67,4,6,0,1,100
39,33,54,10,5,4,1,100
30,11,39,12,2,3,1,100
46,23,61,11,5,1,1,100
17,6,30,5,3,1,1,100
24,10,34,9,3,1,1,100
15,24,31,12,4,3,0,100
13,45,19,9,5,3,0,100
46,34,74,4,2,0,1,100
27,24,62,3,5,1,1,100
16,20,20,6,4,1,0,100
35,26,57,7,4,1,1,100
29,10,41,10,5,2,1,100
19,32,24,8,6,0,0,100
28,16,47,7,6,1,1,100
25,16,34,7,2,2,1,100
46,32,82,3,4,2,1,100
30,13,40,13,4,2,1,100
6,18,6,2,1,0,0,100
25,42,44,0,0,0,0,100
26,33,47,0,0,0,0,100
14,21,37,0,0,0,0,100
23,19,29,0,0,0,1,100
34,26,67,1,0,0,1,100
54,18,97,2,3,0,1,100
31,7,42,0,0,0,1,100
22,13,44,0,0,0,1,100
16,22,25,0,0,0,0,100
17,31,22,2,2,1,0,100
8,32,10,3,1,1,0,100
15,27,18,0,0,0,0,100
46,19,60,0,0,0,1,100
29,10,45,1,1,0,1,100
11,34,12,2,2,0,0,100
39,35,70,0,0,0,1,100
16,34,12,3,3,1,0,100
31,21,51,9,3,3,1,100
29,13,32,2,2,0,1,100
27,14,54,1,3,1,1,100
13,37,19,7,4,0,0,100
23,39,40,6,3,1,0,100
25,39,51,6,2,0,0,100
40,31,72,7,4,3,1,100
12,21,17,13,8,5,0,100
31,21,66,9,4,1,1,100
7,18,9,11,5,2,0,100
29,24,28,2,2,1,0,100
18,7,25,10,7,1,1,100
16,21,16,4,5,2,0,100
11,31,19,7,4,2,0,100
16,34,20,7,6,2,0,100
18,31,34,4,3,1,0,100
26,38,43,8,4,2,0,100
30,16,66,7,7,2,1,100
30,20,47,11,2,1,1,100
22,15,30,6,5,1,0,100
20,6,21,11,4,1,1,100
13,22,25,3,2,1,0,100
0,1,0,6,4,1,1,100
30,18,58,6,5,2,1,100
8,31,6,12,5,4,0,100
25,11,39,11,3,1,1,100
39,15,58,7,4,0,1,100
18,35,41,8,6,1,0,100
18,26,30,9,7,3,1,100
37,21,75,2,3,1,1,100
21,7,44,4,2,2,1,100
19,30,27,8,9,4,0,100
14,29,17,7,4,3,0,100
20,10,38,5,5,2,1,100
16,23,36,9,7,2,1,100
1,18,2,3,3,0,0,100
23,28,32,5,5,1,0,100
37,35,71,7,6,1,1,100
21,40,39,8,9,3,0,100
33,31,60,11,4,1,1,100
29,6,39,8,1,2,1,100
7,16,9,8,4,3,0,100
17,2,25,3,2,0,1,100
35,34,58,4,9,2,0,100
34,20,81,8,7,1,1,100
12,32,13,7,6,3,0,100
27,13,56,7,3,1,1,100
33,10,51,7,5,4,1,100
30,30,58,4,6,2,0,100
45,32,96,10,5,4,1,100
42,48,82,6,4,2,0,100
10,36,23,3,2,1,0,100
22,9,30,6,7,2,1,100
23,48,26,10,5,3,0,100
19,3,19,6,5,2,1,100
28,11,31,2,5,2,1,100
27,51,28,11,8,2,0,100
17,5,15,11,7,3,1,100
36,25,53,10,8,2,1,100
35,34,75,3,5,2,1,100
13,31,11,10,7,1,0,100
20,33,33,4,4,1,0,100
34,43,64,6,5,1,1,100
43,39,81,8,6,2,1,100
11,28,9,11,6,1,0,100
31,41,51,3,6,1,0,100
53,37,73,8,6,2,1,100
20,40,40,6,3,1,0,100
20,49,35,12,7,2,0,100
29,35,54,7,7,2,0,100
23,28,32,5,5,1,0,100
40,33,74,6,4,2,0,100
32,20,55,12,7,4,1,100
27,12,49,10,9,2,1,100
15,23,33,7,2,0,0,100
12,27,22,4,2,0,0,100
8,22,11,7,6,3,0,100
23,28,36,6,6,0,0,100
35,15,50,5,4,0,1,100
52,53,101,7,7,1,0,100
27,39,46,3,2,0,0,100
26,36,42,4,3,2,0,100
29,41,35,10,4,3,0,100
28,20,47,12,5,3,1,100
28,16,39,8,1,1,1,100
37,16,54,6,1,2,1,100
7,28,4,9,6,2,0,100
35,21,43,12,6,4,1,100
33,19,49,8,7,1,1,100
25,33,51,7,5,3,0,100
44,22,73,10,5,2,1,100
15,37,20,5,6,3,0,100
16,27,28,4,6,0,0,100
8,16,5,10,6,2,0,100
29,21,38,8,4,3,1,100
7,17,9,12,6,3,0,100
8,17,11,9,6,4,0,100
5,22,7,6,3,3,0,100
17,33,26,6,3,1,0,100
6,25,5,5,2,2,0,100
7,21,9,10,7,2,0,100
32,16,64,9,5,1,1,100
35,17,55,5,5,1,1,100
14,20,17,6,5,1,0,100
20,5,14,8,5,1,1,100
15,30,18,5,2,2,0,100
3,15,3,12,5,3,0,100
4,13,8,4,4,0,0,100
27,14,56,8,8,2,1,100
38,26,87,11,6,2,1,100
9,27,12,6,6,3,0,100
4,19,7,10,9,3,0,100
13,28,16,7,4,0,0,100
32,13,67,5,5,2,1,100
17,27,29,6,6,2,0,100
29,45,52,3,2,0,0,100
33,18,49,12,8,1,1,100
29,41,51,12,7,4,0,100
25,8,19,9,6,1,1,100
42,22,60,5,5,1,1,100
2,2,2,12,9,3,1,100
32,19,60,4,3,2,1,100
20,29,42,7,1,2,0,100
17,2,21,5,6,2,1,100
24,37,28,1,1,0,0,100
16,27,24,10,4,2,0,100
31,12,57,9,5,3,1,100
12,40,20,9,7,2,0,100
23,19,41,4,5,0,1,100
