kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
22,34,40,3,1,0,0,100
19,34,23,2,1,1,0,100
24,17,33,4,2,1,1,100
16,29,38,5,2,2,0,100
11,28,11,3,2,1,0,100
14,7,15,4,2,0,1,100
12,18,17,4,2,2,0,100
22,7,27,4,2,1,1,100
1,19,1,2,2,1,0,100
47,27,90,3,2,1,1,100
30,22,30,3,2,1,1,100
25,15,39,3,2,1,1,100
36,20,52,2,2,0,1,100
18,35,23,4,1,1,0,100
21,21,32,1,2,0,1,100
22,30,28,4,2,1,0,100
19,28,30,2,2,1,0,100
31,12,64,5,2,1,1,100
10,17,10,4,2,1,0,100
11,29,16,3,2,1,0,100
29,15,58,3,2,1,1,100
16,24,26,0,1,0,0,100
30,19,67,2,2,0,1,100
39,33,54,4,1,2,1,100
30,11,39,4,2,2,1,100
46,23,61,4,2,1,1,100
17,6,30,2,2,1,1,100
24,10,34,3,1,1,1,100
15,24,31,4,2,2,0,100
13,45,19,3,2,1,0,100
46,34,74,3,1,0,1,100
27,24,62,2,2,1,1,100
16,20,20,4,2,1,0,100
35,26,57,4,2,1,1,100
29,10,41,4,2,1,1,100
19,32,24,3,2,0,0,100
28,16,47,2,2,1,1,100
25,16,34,3,1,1,1,100
46,32,82,2,2,1,1,100
30,13,40,4,2,1,1,100
6,18,6,2,1,0,0,100
25,42,44,0,0,0,0,100
26,33,47,0,0,0,0,100
14,21,37,0,0,0,0,100
23,19,29,0,0,0,1,100
34,26,67,1,0,0,1,100
54,18,97,2,2,0,1,100
31,7,42,0,0,0,1,100
22,13,44,0,0,0,1,100
16,22,25,0,0,0,0,100
17,31,22,2,2,1,0,100
8,32,10,3,1,1,0,100
15,27,18,0,0,0,0,100
46,19,60,0,0,0,1,100
29,10,45,1,1,0,1,100
11,34,12,1,1,0,0,100
39,35,70,0,0,0,1,100
16,34,12,2,2,1,0,100
31,21,51,4,2,1,1,100
29,13,32,1,1,0,1,100
27,14,54,1,1,1,1,100
13,37,19,3,2,0,0,100
23,39,40,2,2,1,0,100
25,39,51,2,1,0,0,100
40,31,72,3,2,2,1,100
12,21,17,4,2,3,0,100
31,21,66,4,2,1,1,100
7,18,9,3,2,2,0,100
29,24,28,2,1,1,0,100
18,7,25,3,2,1,1,100
16,21,16,3,2,2,0,100
11,31,19,3,1,2,0,100
16,34,20,2,2,1,0,100
18,31,34,3,1,1,0,100
26,38,43,3,2,1,0,100
30,16,66,4,2,1,1,100
30,20,47,4,1,1,1,100
22,15,30,3,2,1,0,100
20,6,21,4,2,1,1,100
13,22,25,3,2,1,0,100
0,1,0,4,1,1,1,100
30,18,58,2,2,1,1,100
8,31,6,4,2,2,0,100
25,11,39,3,2,1,1,100
39,15,58,2,1,0,1,100
18,35,41,3,2,1,0,100
18,26,30,3,2,1,1,100
37,21,75,1,2,1,1,100
21,7,44,2,1,2,1,100
19,30,27,3,2,1,0,100
14,29,17,2,1,1,0,100
20,10,38,2,2,1,1,100
16,23,36,4,2,1,1,100
1,18,2,1,1,0,0,100
23,28,32,3,2,1,0,100
37,35,71,3,2,1,1,100
21,40,39,2,2,1,0,100
33,31,60,3,2,1,1,100
29,6,39,3,1,1,1,100
7,16,9,3,2,1,0,100
17,2,25,3,1,0,1,100
35,34,58,2,2,1,0,100
