assists,champLevel,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,teamId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
6,15,9097,4049,19358,6,3,0,0,0,0,0,0,16314,15985,0,3,13,601,7,2,846,9334,3873,4836,21,0,21,1,100,0,146765,21909,13558,0,15,180568,33194,20139,1628,256,140,1,0,24467,7411,1743,2,59,5,17,13,0
5,15,3957,2390,25741,7,0,0,0,0,0,0,0,10467,9475,0,0,1,0,0,1,578,156762,28182,6309,13,1,1,2,100,0,8207,296,23366,0,55,166516,30026,30888,6708,197,543,2,0,1547,1547,1213,1,42,3,2,12,0
4,16,6490,1644,20342,3,0,0,0,0,0,0,0,11987,12375,0,1,4,0,4,1,1580,146346,15997,12520,26,0,23,3,100,0,9277,1129,18261,0,16,166255,17441,31388,10777,238,451,1,0,10632,314,606,1,29,7,6,11,0
9,15,33763,0,19598,9,0,0,0,0,0,0,0,11035,10950,0,0,3,0,0,1,461,8604,1048,6707,142,10,89,4,100,0,181019,12892,20488,0,27,205159,16509,28888,8359,57,487,1,0,15535,2568,1691,0,48,7,11,6,0
16,13,1128,1128,41491,9,0,0,0,0,0,0,0,7958,9375,0,0,1,0,0,1,653,10023,5921,5109,0,0,0,5,100,0,7971,2492,16691,0,58,27412,9091,24638,2646,26,144,5,0,9418,677,2837,0,74,15,6,42,0
15,16,17238,2982,29768,6,0,0,1,1,0,0,0,12646,11300,0,2,6,0,2,1,589,30016,2533,11600,116,12,87,6,200,0,122153,12369,16609,0,21,163158,15799,30348,8066,34,371,1,0,10988,895,2138,0,24,11,3,22,1
15,17,15533,5596,40418,4,1,0,0,1,0,0,1,15072,13433,0,3,10,0,5,2,1101,60699,6145,13705,16,0,7,7,200,0,83124,15846,14810,0,33,147983,22223,34723,7417,173,358,1,0,4159,231,6207,1,40,2,5,10,1
13,17,32101,11750,16699,4,2,0,0,0,1,0,0,18525,17175,1,1,10,906,9,4,837,4689,1452,5125,28,1,18,8,200,0,276313,31788,10185,1,26,290193,34366,16568,3846,305,188,1,1,9190,1126,1257,3,31,3,10,14,1
15,17,4801,2985,10101,3,1,0,0,1,0,0,0,12730,11175,0,2,5,0,3,2,789,102831,23382,15366,28,12,16,9,200,0,21327,2528,8703,0,24,129449,27745,24408,9470,196,62,1,0,5290,1834,337,4,44,5,11,10,1
11,14,3083,726,22899,5,0,0,0,0,0,0,0,8157,6700,0,0,2,0,0,1,839,237,0,12789,0,0,0,10,200,0,19769,5565,11253,0,23,31057,9571,27094,2937,34,60,1,0,11050,4005,3051,0,85,8,8,41,1
